Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
486,-98,25,-408,60,,
487,-55,25,-483,51,,
488,-85,29,-503,60,,
489,-50,29,-454,60,,
490,-81,19,-35,52,,
491,-7,36,20572,60,,
492,-102,19,-555,60,,
493,-30,25,-29,51,,
494,-36,33,1129,60,,
495,-59,26,-552,60,,
496,-62,21,851,51,,
497,-26,31,6576,60,,
498,-66,26,2156,60,,
499,-27,26,2224,51,,
500,-101,29,-465,60,,
501,-78,28,105,60,,
502,-40,24,-395,51,,
503,-59,26,540,60,,
504,-38,30,4859,60,,
505,-80,21,-390,52,,
506,-57,26,-38,60,,
507,-66,28,339,60,,
508,-70,24,487,51,,
509,-54,30,-384,60,,
510,-67,27,-771,60,,
511,-52,25,-489,51,,
512,-56,28,225,60,,
513,-42,33,-536,60,,
514,-53,23,340,51,,
515,-26,29,1819,60,,
516,41,42,-157669,60,,
517,-24,25,2030,52,,
518,-48,29,-277,60,,
519,-52,29,601,60,,
520,-3,29,-10410,51,,
521,-29,29,4868,60,,
522,-29,30,1740,60,,
523,-84,15,-362,51,,
524,-101,20,107,60,,
525,-54,35,-812,60,,
526,-65,21,631,51,,
527,-28,29,2849,60,,
528,-84,23,-342,60,,
529,-63,27,-131,52,,
530,-37,32,-654,60,,
531,-36,35,788,60,,
532,-57,23,117,51,,
533,-64,29,-849,60,,
534,-69,30,-788,60,,
535,-52,26,-48,51,,
536,-37,31,-657,60,,
537,-68,29,397,60,,
538,-33,25,2589,51,,
539,-109,23,-376,60,,
540,-71,25,-551,60,,
541,-19,32,2649,51,,
542,-12,39,4060,61,,
543,1,35,1660,60,,
544,-68,23,2510,51,,
545,-5,35,6315,60,,
546,-79,27,-799,60,,
547,-27,27,-59,51,,
548,-54,29,2493,60,,
549,-23,33,8729,60,,
550,-41,22,2580,51,,
551,-45,31,-647,60,,
